"years","rcs_crn","rcs_crn0","rcs_sf_crn","rcs_sf_crn0"
"100",0.979821351621475,0.853488719139134,0.90137901966287,0.833182407171097
"101",0.95957342473679,0.887683105261867,1.05965847882931,0.928865318730538
"102",0.941404671163841,0.835699722064896,1.0496490124243,0.880290487408015
"103",0.98864781460747,1.04564968434319,1.07148288407768,1.1041180542501
"104",0.990175410031914,1.0207903860918,1.06978438132178,1.07773947253841
"105",0.977712468625794,0.854147460769626,1.04628394165448,0.883072798679496
"106",0.97518176351346,0.954912884778014,1.05642442880762,0.989687096711959
"107",0.962763910481905,0.966858379648861,1.03568176673386,1.00506205367393
"108",0.978981999017893,0.768622979608321,1.05199953138587,0.788121534361596
"109",0.974502808332826,0.913556070851492,1.05271776792885,0.944165871426089
"110",0.954289247656456,0.959262007899234,0.993418890583936,1.001740713119
"111",0.983892965823127,0.881665160987702,1.04334119900693,0.911136953265099
"112",1.00510466056751,0.965274890078537,1.07354138504131,1.00175267283492
"113",0.978750443275096,0.981095442614168,1.04191737878991,1.01491550977523
"114",0.956643309617176,1.10037368736463,1.0102083499376,1.14685222312596
"115",0.970751224239415,1.01797767844542,1.03220803396508,1.05752810830364
"116",0.971528854779567,0.862169495055997,1.03000136939417,0.887785550698172
"117",0.964792389474177,0.894474243820668,1.01649393664497,0.927437422463027
"118",0.955605086639944,0.964546669579284,1.00620361480624,0.994911024576175
"119",0.98041204615989,1.07478730005136,1.02569910899768,1.11555834592221
"120",0.98000848034283,0.879663168930735,1.02507248266537,0.909021110167984
"121",0.949978423015106,1.06972287002058,1.00034305087566,1.10536045526394
"122",0.99254943692643,1.01540303544947,1.03515067444433,1.04385683489033
"123",0.974833763748941,0.968568733518647,1.01409776096246,0.999017754283887
"124",0.96898441916559,1.04133152745141,1.00084629857324,1.06863812441946
"125",0.971346296007823,0.979354555892594,0.998123757687906,1.0021206675497
"126",0.967400111242306,0.88552292980656,1.00772810911132,0.904252081378699
"127",0.954987526344492,1.03675622516319,0.984386857140932,1.06212198503851
"128",0.980466980869478,0.957718710932776,1.01034153489904,0.980868878518422
"129",0.951934329875146,0.786773024481682,0.970243420544706,0.805040822539988
"13",0.845421367186751,0.871601933675709,1.03,0.975565857880052
"130",0.994469522781698,0.854792140637903,1.02370861163036,0.873482427284687
"131",0.977947336460231,1.01395334962403,1.0062666191553,1.0342119512645
"132",0.935496199511317,1.03736388850778,0.955998679461737,1.05874170257566
"133",0.955455001650768,0.96673028960915,0.97535330251438,0.985142112302378
"134",0.980091201560003,0.927111283627491,1.00050205753898,0.944386241950996
