"years","rcs_crn","rcs_sf_crn"
"100",0.958465886146522,0.841716329312499
"101",0.945700948380625,0.963721191536277
"102",0.953867790024444,0.995479085989947
"103",0.959219628360208,0.974278558155049
"104",0.966470451860303,0.9914957897363
"105",0.947145971566434,0.979300600204916
"106",0.957837042654156,0.99107919942724
"107",0.955409143165294,0.97621082078713
"108",0.967687608198094,0.999246565562205
"109",0.987978808268405,1.00501998768862
"110",0.967144310561833,0.997963784103195
"111",0.986009840782405,1.00958216787228
"112",1.01822130338968,1.04833861948963
"113",0.980647324757491,1.0023405797976
"114",0.989753676734208,1.01009002144157
"115",0.991745918632277,1.00044591181815
"116",1.00053214296049,1.0225338070328
"117",0.974612416857748,0.994487038017977
"118",0.998990439174567,1.01685023148451
"119",1.00659171385189,1.0492436739454
"120",1.00193403689659,1.02242864426234
"121",0.98936344707858,1.00612982956012
"122",1.02825594366211,1.04063182086874
"123",0.962753007619819,0.97884432947701
"124",0.986084812958404,0.997645199889036
"125",0.951663726332621,0.988312061870564
"126",0.989316254816401,1.0033400582771
"127",0.966985631403164,0.974129155666582
"128",0.982104148201288,0.98855286221893
"129",0.994359653859221,1.00093498213183
"130",1.00750032976763,1.01219709604971
"131",0.949053213454784,0.956046714336456
"132",0.95008136180025,0.956189446826156
"133",1.02631748659751,1.01674673756075
"134",0.981502952853129,0.984243970998341
"135",0.969980174342082,0.973467073502321
"136",0.956573074509461,0.962690845403202
"137",0.977901569667923,0.983463164240115
"138",1.026580076934,1.02906254272797
"139",0.990114294817953,1.00090884682837
"140",1.01972608223477,1.02259200716805
"141",1.04020943568044,1.04155581904733
"142",1.02304892242531,1.02400197125717
"143",1.02853419570083,1.03169670779948
"144",1.00150711746038,1.00504232941962
"145",1.00396743270101,1.00563514778327
"146",1.04003931918781,1.04589184643978
"147",1.03624882161112,1.03478925594752
"148",1.02327566415007,1.03267268878308
"149",1.03720427992684,1.03915563715235
"150",1.01126779985877,1.01323495502548
"151",1.03080237302053,1.03481740244807
"152",1.01368238863426,1.0172021104938
"153",1.00468152073093,1.01164888023114
"154",0.983645945222551,0.985071113736613
"155",1.00685404897626,1.00970990649114
"156",1.02546691031604,1.02908064344539
"157",0.96351214309326,0.960401700510167
"158",0.998008005989971,1.00053690647994
"159",0.981087139681988,0.982940880638952
